final_call_type,CARE,SPD,SPD/CARE Co-Response
ORDER - VIOLATING DV COURT ORDER,0.0,100.0,0.0
ORDER - VIOLATION OF COURT ORDER (NON DV),0.0,100.0,0.0
OUT AT RANGE,0.0,100.0,0.0
OUT OF CAR/NO REASON GIVEN,0.0,100.0,0.0
OUT TO PRECINCT/STATION,0.0,100.0,0.0
OVERDOSE,0.0,100.0,0.0
"PANHANDLING, AGGRESSIVE",0.0,100.0,0.0
PARKING VIOLATION (EXCEPT ABANDONED CAR),0.0,100.0,0.0
PARKS VIOLATIONS/CITES (INCLUDES EXCLUSIONS),0.0,100.0,0.0
PEACE-STANDBY TO ASSURE (NO COURT ORDR SVC),0.0,98.0392156862745,1.9607843137254901
PERSON - A.W.O.L.,0.0,100.0,0.0
PERSON - FOUND PERSON,0.0,91.83673469387756,8.16326530612245
PERSON - LOST PERSON,0.0,100.0,0.0
PERSON - MISSING PERSON,0.0,94.64980544747081,5.3501945525291825
PERSON - RUNAWAY,0.0,97.52066115702479,2.479338842975207
PERSON - TRUANCY,0.0,100.0,0.0
PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,1.5151515151515151,92.42424242424242,6.0606060606060606
POWER OUT - POLES AND TRANSFORMERS,0.0,100.0,0.0
"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",29.59830866807611,70.19027484143763,0.21141649048625794
PREMISE CHECKS - BUSINESS CHECK,0.034952813701502966,99.93009437259698,0.034952813701502966
PREMISE CHECKS - CRIME PREVENTION,0.24960479241201433,99.66719361011731,0.08320159747067143
PREMISE CHECKS - HOMELESS ENCAMPMENT,0.0,100.0,0.0
PREMISE CHECKS - LICENSE INSPECTIONS,7.6923076923076925,92.3076923076923,0.0
PREMISE CHECKS - REQUEST TO WATCH,0.0,99.88262910798123,0.11737089201877934
PREPLANNED EVENT,0.0,100.0,0.0
PRISONER ESCORT - BUSY CODE,0.0,100.0,0.0
PROPERTY - DAMAGE,0.0,100.0,0.0
PROPERTY - DAMAGE (GUN RELATED),0.0,100.0,0.0
PROPERTY - FOUND,0.0,100.0,0.0
"PROPERTY - FOUND GUN, SHELLCASINGS",0.0,100.0,0.0
PROPERTY - FOUND PROPERTY,0.0,99.75565058032987,0.2443494196701283
PROPERTY - FOUND PROPERTY (NON-SPD SIN),0.0,100.0,0.0
PROPERTY - LOST OR MISSING,0.0,96.29629629629629,3.7037037037037033
PROPERTY - MISSING PROPERTY,0.0,100.0,0.0
PROPERTY DEST (DAMG),0.0,99.90878686530861,0.09121313469139557
PROPERTY DEST (DAMG) - GRAFFITI (INCLUDES GANG),0.0,100.0,0.0
PROWLER - GENERAL,0.0,100.0,0.0
PROWLER - TRESPASS,0.0,99.3391660461653,0.6608339538346985
"PROWLER - TRESPASS, PARKS EXCLUSION",0.0,97.05882352941177,2.941176470588235
RAPE,0.0,100.0,0.0
RAPE - KNOWN SUSPECT (ACQUAINTANCE),0.0,100.0,0.0
RAPE - UNKNOWN SUSPECT (STRANGER),0.0,100.0,0.0
REQUEST TO WATCH,0.0,100.0,0.0
ROBBERY (INCL STRONG ARM),0.0,100.0,0.0
ROBBERY - ARMED,0.0,99.65928449744463,0.34071550255536626
ROBBERY - CRITICAL (INCLUDES STRONG ARM),0.0,100.0,0.0
ROBBERY - STRONG ARM,0.0,99.13258983890955,0.8674101610904585
SERVICE - WELFARE CHECK,2.4024024024024024,83.48348348348348,14.114114114114114
SEX IN PUBLIC PLACE (INCL MASTURBATION),0.0,100.0,0.0
SEX OFFENDER - FAILURE TO REGISTER,0.0,100.0,0.0
SEX OFFENSES (NON-RAPE) - FAILURE TO REGISTER,0.0,100.0,0.0
SEX OFFENSES (NON-RAPE) - LEWD CONDUCT,0.0,99.3975903614458,0.6024096385542169
SEX OFFENSES (RAPE) - MOLESTING,0.0,98.52941176470588,1.4705882352941175
SFD - ASSIST ON CRITICAL FIRE OR MEDIC RESPONSE,0.0,100.0,0.0
SFD - ASSIST ON FIRE OR MEDIC RESPONSE,0.0,100.0,0.0
SHOPLIFT - THEFT,0.0,100.0,0.0
SHOTS HEARD - DELAY,0.0,100.0,0.0
SHOTS HEARD - IN PROGRESS,0.0,100.0,0.0
STADIUM EVENT ASSIGNMENT,0.0,100.0,0.0
SUICIDE - CRITICAL,0.0,95.08196721311475,4.918032786885246
SUICIDE - SUICIDAL PERSON AND ATTEMPTS,1.8867924528301887,90.56603773584906,7.547169811320755
"SUSPICIOUS CIRCUM. - BUILDING (OPEN DOOR, ETC)",0.0,99.79195561719834,0.20804438280166435
SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,0.0,99.50862414761332,0.49137585238668274
SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,0.0,99.88916256157636,0.11083743842364532
SUSPICIOUS PACKAGE,0.0,100.0,0.0
"SUSPICIOUS PERSON, VEHICLE, OR INCIDENT",0.0,99.65156794425087,0.34843205574912894
SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,0.0,96.93877551020408,3.061224489795918
SWATTING,0.0,100.0,0.0
TEST CALL ONLY,14.583333333333334,85.41666666666666,0.0
THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),0.0,100.0,0.0
THEFT - ALL OTHER,0.0,99.86595174262735,0.13404825737265416
THEFT - AUTO ACCESSORIES,0.0,100.0,0.0
THEFT - BICYCLE,0.0,100.0,0.0
THEFT - CAR PROWL,0.0,99.95906672124437,0.04093327875562833
THEFT - SHOPLIFT,0.0,99.87926871334943,0.12073128665056915
THEFT OF SERVICES,0.0,100.0,0.0
THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),0.0,99.11504424778761,0.8849557522123894
THREATS - DV - NO ASSAULT,0.0,100.0,0.0
TRAF - ELUDING POLICE,0.0,100.0,0.0
TRAFFIC - ASSIST MOTORIST,0.0,100.0,0.0
TRAFFIC - BICYCLE VIOLATION,0.0,100.0,0.0
TRAFFIC - BLOCKING ROADWAY,0.0,100.0,0.0
TRAFFIC - BLOCKING TRAFFIC,0.0,99.86816084377061,0.13183915622940012
